,date,datetime,temp,feelslike,humidity,dew,precip,precipprob,snow,snowdepth,preciptype,windgust,windspeed,winddir,pressure,visibility,cloudcover,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,moonphase
42,2005-02-12,17:00:00,51.2,51.2,29.1,20.0,0.0,0.0,0.0,0.0,,,2.0,,1002.4,9.9,90.0,,,,,Partially cloudy,partly-cloudy-day,0.13
43,2005-02-13,17:00:00,52.1,52.1,20.6,12.8,0.0,0.0,0.0,0.0,,,12.3,360.0,1012.2,9.9,50.0,,,,,Partially cloudy,partly-cloudy-day,0.16
44,2005-02-14,17:00:00,56.9,56.9,20.7,17.0,0.005,100.0,0.0,0.0,['rain'],,16.1,320.0,1008.1,9.9,50.0,,,,,"Rain, Partially cloudy",rain,0.19
45,2005-02-15,17:00:00,25.1,16.8,77.8,19.1,0.012,100.0,0.0,0.0,['snow'],,7.4,50.0,1021.3,9.9,90.0,,,,,"Snow, Partially cloudy",snow,0.25
46,2005-02-16,17:00:00,28.1,19.8,76.9,21.8,0.005,100.0,0.0,0.0,['snow'],,8.5,360.0,1021.0,9.9,90.0,,,,,"Snow, Partially cloudy",snow,0.26
47,2005-02-17,17:00:00,41.1,36.0,23.1,6.2,0.0,0.0,0.0,0.0,,,7.8,90.0,1020.3,9.9,30.0,,,,,Partially cloudy,partly-cloudy-day,0.29
48,2005-02-18,17:00:00,37.1,32.7,41.9,16.1,0.0,0.0,0.0,0.0,,,5.5,350.0,1013.2,9.9,100.0,,,,,Overcast,cloudy,0.32
49,2005-02-19,17:00:00,50.1,50.1,36.0,24.2,0.021,100.0,0.0,0.0,['rain'],,15.6,300.0,1004.1,9.9,90.0,,,,,"Rain, Partially cloudy",rain,0.36
50,2005-02-20,17:00:00,44.0,35.6,53.4,28.1,0.0,0.0,0.0,0.0,,41.4,20.3,320.0,1010.2,9.9,100.0,,,,,Overcast,cloudy,0.39
51,2005-02-21,17:00:00,50.1,50.1,21.3,11.9,0.0,0.0,0.0,0.0,,,4.7,20.0,1014.2,9.9,90.0,,,,,Partially cloudy,partly-cloudy-day,0.42
52,2005-02-22,17:00:00,41.1,35.6,56.7,26.9,0.0,0.0,0.0,0.0,,,8.6,140.0,1016.9,9.9,50.0,,,,,Partially cloudy,partly-cloudy-day,0.45
53,2005-02-23,17:00:00,42.2,42.2,33.1,15.2,0.0,0.0,0.0,0.0,,,1.4,,1018.6,9.9,90.0,,,,,Partially cloudy,partly-cloudy-day,0.5
54,2005-02-24,17:00:00,46.7,44.6,24.2,12.0,0.0,0.0,0.0,0.0,,,4.7,36.0,1019.0,8.1,30.0,,,,,Partially cloudy,partly-cloudy-day,0.52
55,2005-02-25,17:00:00,47.9,44.0,24.0,12.8,0.0,0.0,0.0,0.0,,,8.6,150.0,1013.9,9.9,50.0,,,,,Partially cloudy,partly-cloudy-day,0.56
56,2005-02-26,17:00:00,47.4,44.3,24.9,13.2,0.003,100.0,0.0,0.0,['rain'],,6.6,8.0,1010.0,45.6,50.0,,,,,"Rain, Partially cloudy",rain,0.59
